MOF,Density_g_cm^3,POAVF__,Cp_J_g_K,Henry_mol_kg_Pa_CO2,Henry_mol_kg_Pa_N2,T_ref_K_CO2,T_ref_K_N2,Uptake_mean_CO2,Uptake_mean_N2,Heat_mean_CO2,Heat_mean_N2,Uptake_max_CO2,Uptake_max_N2,Heat_max_CO2,Heat_max_N2,Uptake_min_CO2,Uptake_min_N2,Heat_min_CO2,Heat_min_N2,Uptake_first_CO2,Uptake_first_N2,Heat_first_CO2,Heat_first_N2,Uptake_last_CO2,Uptake_last_N2,Heat_last_CO2,Heat_last_N2,Henry_selectivity_CO2_N2,Uptake_mean_selectivity_CO2_N2,Uptake_max_selectivity_CO2_N2,Uptake_sat_mol_kg,Henry_mol_kg_Pa,Heat_henry_kJ_mol,Uptake_des_mol_kg,Heat_des_kJ_mol,Uptake_CO2_bin_mol_kg,Uptake_CO2_ter_mol_kg,WRC__,nCAC
100_rob+N147+124_charge,0.8878,0.6161,0.7287,0.0100565,3.97e-06,298.15,298.15,1.8238621203427479,8.652743985457004,-28.826899645403742,-13.167968427158815,2.7196948630616,14.258785929023,-23.35398774756106,-12.243550116781158,0.20802793237893,0.13748673324308,-50.151864148544114,-16.27297405569159,0.20802793237893,0.13748673324308,-50.151864148544114,-16.27297405569159,2.7196948630616,14.258785929023,-23.35398774756106,-13.501300078589715,2533.1227876265016,0.210784246408766,0.19073817901463933,38.385132,5442230.0,-104.040093,3.527222656,-41.36992,1.901672934,0.105678927,0.055571558,167.85040256184593
102_dmp+N520+126_charge,1.4147,0.28,0.7265,0.000843088,1.08e-06,298.15,298.15,1.0337115917177193,2.578859870914341,-32.5020580489821,-14.653458692248016,1.7898313876672,3.8207023927128,-28.6362440799774,-13.917780142635127,0.0042097188972020005,0.17547061161723,-47.97172624938293,-15.357412320599662,0.0042097188972020005,0.17547061161723,-47.97172624938293,-14.523956035661048,1.7898313876672,3.8207023927128,-30.027974742509667,-14.765964050810968,780.6363142256349,0.40084054328660107,0.46845611191294695,10.7470755,17500000000000.0,-149.0067888,5.430363308,-56.76792,0.978271793,0.00560227,0.005726701,202.89146817853023
103_tfz-d+N586+128_charge,1.3659,0.3618,0.8044,0.0250688,8.58e-06,298.15,298.15,1.4430740947001908,3.463948060059735,-37.171285319628645,-19.337131949462226,2.1813905911456,4.6236403567678,-33.68420848171773,-18.669217623540984,0.041633925900944,0.27786679188467,-57.20732853672319,-20.203768418055997,0.041633925900944,0.27786679188467,-57.20732853672319,-19.075573004555153,2.1813905911456,4.6236403567678,-33.84845135699801,-19.033254532688296,2921.7712212387855,0.4165980752825978,0.47179071528609334,14.5804605,9878840000.0,-128.929796,7.50385297,-49.49678,3.001463698,0.228433811,0.076107471,-1126.5789638623469
1075_bcg+N586+1035_charge,0.8248,0.6857,0.5625,0.00385737,1.5e-06,298.15,298.15,0.21639931362301565,12.21848802924022,-20.336593784783847,-11.066063693164534,0.38420295860136,22.349317002745,-15.69252153156097,-8.904952904335614,0.03359023113648,0.0999429450912,-50.14671078300635,-14.5600117653959,0.03359023113648,0.0999429450912,-50.14671078300635,-9.768701654166925,0.38420295860136,22.349317002745,-15.69252153156097,-14.167264514142758,2571.578285614476,0.017710809480283484,0.01719081431231899,45.999843,714839000.0,-119.2604582,0.205966264,-31.02026,0.208991122,0.112440923,0.538017701,-233.3537030119029
108_dmp+N520+14_charge,0.9171,0.5592,0.8178,0.0113766,3.38e-06,298.15,298.15,1.503562630466825,8.1696786313269,-34.20630317585787,-14.034774135611793,2.701363591114,12.860381986648001,-29.137894480545015,-13.498538024889127,0.033399858528683005,0.22564788250772,-51.76772138418648,-14.88752436095755,0.033399858528683005,0.22564788250772,-51.76772138418648,-14.88752436095755,2.701363591114,12.860381986648001,-29.13961587585678,-13.498538024889127,3365.8569923500027,0.18404183301668453,0.21005313791755326,33.646986,967461000.0,-120.5002441,20.64087638,-53.19519,2.251489814,0.002593321,0.001151825,90.02678378639756
130_unc+N520+41_charge,1.5971,0.3062,0.7218,0.18855,2.21e-06,298.15,298.15,0.45915199979278115,2.2315768317491544,-46.938317468874395,-15.98418022642538,0.67121153468119,3.3896642710203,-42.466236848172024,-14.601314177637404,0.041649536254576,0.059380817943037005,-61.93943700651191,-20.873791334475484,0.041649536254576,0.059380817943037005,-61.93943700651191,-20.873791334475484,0.67121153468119,3.3896642710203,-42.549179935182025,-14.67505336405629,85316.70347660477,0.20575227043950034,0.19801711349984377,10.4958825,60600000000000.0,-150.9499,6.848095101,-58.42549,1.407649171,0.004563003,0.003241577,-181.7828122299712
1313_hex+N586+971_charge,1.2089,0.3111,0.8609,0.503569,1.05e-05,298.15,298.15,0.8909280035311218,3.104892796282936,-48.968051285304504,-19.671521839545356,1.2020715308405001,4.2679781590341,-44.02339707438991,-18.35580708662666,0.11170488848592,0.16401161873595,-60.88706845729198,-22.476743415523863,0.11170488848592,0.16401161873595,-60.88706845729198,-22.270405925573645,1.2020715308405001,4.2679781590341,-44.02339707438991,-19.399119489568115,47958.94781343355,0.286943241517846,0.281648941500737,14.1273585,1.83e+16,-166.4870871,4.091020215,-42.044,2.435838467,0.066068719,0.027123604,-166.80502535153093
1337_tfz-d+N586+1590_charge,0.8089,0.5445,0.9,0.0314225,6.28e-06,298.15,298.15,1.1110331184725748,8.54916596790801,-30.505394859720543,-14.714547518293564,1.8100098817896,12.813216329825,-26.13566130071536,-14.030765553051905,0.23502772438511,0.34893565068390003,-53.72862469746477,-16.342162882684576,0.23502772438511,0.34893565068390003,-52.813054936757084,-16.342162882684576,1.8100098817896,12.813216329825,-26.175474871206,-14.61445734904157,5003.582005799043,0.12995807107302138,0.14126116622072044,37.0208865,52699500.0,-113.1806608,1.923321932,-39.52811,1.630590974,0.236042484,0.144758856,171.2169431464309
151_sxb+N250+183_charge,0.7368,0.6157,0.8151,0.0519858,3.39e-06,298.15,298.15,0.7056221333382885,11.493944596831462,-33.54197038512654,-12.645436377843668,1.2997244031805,19.704604604986,-26.80385647140771,-11.60851641895144,0.007013459197907,0.17167469810117,-57.461551441301424,-13.861699438211385,0.007013459197907,0.17167469810117,-57.461551441301424,-12.827473968552141,1.2997244031805,19.704604604986,-26.80385647140771,-13.43768552242823,15335.039724177072,0.06139077210557863,0.06596044068052781,46.166232,5490670000.0,-121.4753108,14.62566646,-51.12882,1.525629156,0.012179035,0.007982959,451.5931085616422
1565_utk+N245+427_charge,0.3562,0.8381,0.7847,0.0426525,3.87e-06,298.15,298.15,2.367739583514987,35.160746451922435,-31.366834385333956,-10.852446821105081,4.6370310812071,66.486615629043,-21.907240577935646,-7.365713636923653,0.00797683802616,0.171062925561,-53.27731473277793,-14.928100615305565,0.00797683802616,0.171062925561,-53.27731473277793,-11.147783443824457,4.6370310812071,66.486615629043,-21.907240577935646,-14.826861665768345,11021.314981572355,0.06734042426410039,0.06974382794695089,130.46274,521000000000.0,-126.7177469,9.384695052,-43.18475,2.099737951,0.091898297,0.043766555,243.58779586408235
